project_slug,status,jdk_version,mvn_version,gradle_version,use_gradlew
perwendel__spark_CVE-2018-9159_2.7.1,success,8,3.5.0,,
perwendel__spark_CVE-2016-9177_2.5.1,success,8,3.5.0,,
square__retrofit_CVE-2018-1000850_2.4.0,success,8,3.5.0,,
dromara__hutool_CVE-2018-17297_4.1.11,success,8,3.5.0,,
vert-x3__vertx-web_CVE-2018-12542_3.5.3.CR1,success,8,3.5.0,,
apache__jspwiki_CVE-2019-0225_2.11.0.M2,success,8,3.5.0,,
wildfly__wildfly_CVE-2018-1047_11.0.0.Final,success,8,3.5.0,,
DSpace__DSpace_CVE-2016-10726_4.4,success,8,3.5.0,,
apache__tika_CVE-2018-11762_1.18,success,8,3.5.0,,
codehaus-plexus__plexus-archiver_CVE-2018-1002200_3.5,success,8,3.5.0,,
whitesource__curekit_CVE-2022-23082_1.1.3,success,8,3.5.0,,
zeroturnaround__zt-zip_CVE-2018-1002201_1.12,success,8,3.5.0,,
jlangch__venice_CVE-2022-36007_1.10.16,success,8,,7.6.4,
srikanth-lingala__zip4j_CVE-2018-1002202_1.3.2,success,8,3.5.0,,
testng-team__testng_CVE-2022-4065_7.5,success,17,,,1.0
asf__tapestry-5_CVE-2019-0207_5.4.4,success,8,,,1.0
asf__commons-io_CVE-2021-29425_2.6,success,8,3.5.0,,
diffplug__goomph_CVE-2022-26049_3.37.1,success,8,,,1.0
ESAPI__esapi-java-legacy_CVE-2022-23457_2.2.3.1,success,8,3.5.0,,
alibaba__one-java-agent_CVE-2022-25842_0.0.1,success,8,3.5.0,,
joniles__mpxj_CVE-2020-35460_8.3.4,success,8,3.5.0,,
codehaus-plexus__plexus-utils_CVE-2022-4244_3.0.23,success,8,3.5.0,,
undertow-io__undertow_CVE-2014-7816_1.0.16.Final,success,8,3.5.0,,
codehaus-plexus__plexus-archiver_CVE-2023-37460_4.7.1,success,8,3.5.0,,
jeremylong__DependencyCheck_CVE-2018-12036_3.1.2,success,8,3.5.0,,
apache__rocketmq_CVE-2019-17572_4.6.0,success,8,3.5.0,,
vert-x3__vertx-web_CVE-2019-17640_3.9.3,success,8,3.5.0,,
apache__sling-org-apache-sling-servlets-resolver_CVE-2024-23673_2.10.0,success,8,3.5.0,,
x-stream__xstream_CVE-2013-7285_1.4.6,success,8,3.5.0,,
apache__myfaces_CVE-2011-4367_2.0.11,success,8,3.5.0,,
spring-cloud__spring-cloud-config_CVE-2020-5405_2.1.6.RELEASE,success,8,3.5.0,,
spring-cloud__spring-cloud-config_CVE-2020-5410_2.1.8.RELEASE,success,8,3.5.0,,
x-stream__xstream_CVE-2021-21345_1.4.15,success,8,3.5.0,,
codehaus-plexus__plexus-utils_CVE-2017-1000487_3.0.15,success,8,3.5.0,,
asf__james-project_CVE-2022-22931_3.6.0,success,8,,6.8.2,
DSpace__DSpace_CVE-2022-31194_5.10,success,8,3.5.0,,
DSpace__DSpace_CVE-2022-31195_5.10,success,8,3.5.0,,
xwiki__xwiki-commons_CVE-2022-24897_12.6.6,success,8,3.5.0,,
apache__dolphinscheduler_CVE-2022-26884_2.0.5,success,8,3.5.0,,
kubernetes-client__java_CVE-2020-8570_client-java-parent-9.0.1,success,8,3.5.0,,
jenkinsci__git-client-plugin_CVE-2019-10392_2.8.4,success,8,3.5.0,,
jenkinsci__perfecto-plugin_CVE-2020-2261_1.17,success,8,3.5.0,,
nahsra__antisamy_CVE-2017-14735_1.5.6,success,17,3.9.8,,
nahsra__antisamy_CVE-2016-10006_1.5.3,success,17,3.9.8,,
jenkinsci__workflow-cps-global-lib-plugin_CVE-2022-25174_544.vff04fa68714d,success,8,3.5.0,,
jenkinsci__docker-commons-plugin_CVE-2022-20617_1.17,success,8,3.5.0,,
jenkinsci__workflow-multibranch-plugin_CVE-2022-25175_706.vd43c65dec013,success,8,3.5.0,,
apache__shiro_CVE-2023-34478_1.11.0,success,8,3.5.0,,
apache__mina-sshd_CVE-2023-35887_2.9.2,success,8,3.5.0,,
OWASP__json-sanitizer_CVE-2020-13973_1.2.0,success,8,3.5.0,,
apache__shiro_CVE-2023-46749_1.12.0,success,17,3.9.8,,
x-stream__xstream_CVE-2020-26217_1.4.14-java7,success,8,,6.8.2,
ESAPI__esapi-java-legacy_CVE-2022-24891_2.2.3.1,success,8,3.5.0,,
nahsra__antisamy_CVE-2022-29577_1.6.6.1,success,8,3.5.0,,
nahsra__antisamy_CVE-2022-28367_1.6.5,success,8,3.5.0,,
xuxueli__xxl-job_CVE-2020-29204_2.2.0,success,8,3.5.0,,
jenkinsci__script-security-plugin_CVE-2023-24422_1228.vd93135a_2fb_25,success,8,3.5.0,,
apache__sling-org-apache-sling-xss_CVE-2016-5394_1.0.8,success,8,3.5.0,,
rhuss__jolokia_CVE-2018-1000129_1.4.0,success,8,3.5.0,,
yamcs__yamcs_CVE-2023-45278_5.8.6,success,17,3.9.8,,
yamcs__yamcs_CVE-2023-45277_5.8.6,success,17,3.9.8,,
jenkinsci__workflow-cps-plugin_CVE-2022-25173_2646.v6ed3b5b01ff1,success,17,3.9.8,,
alibaba__nacos_CVE-2021-44667_2.0.3,success,8,3.5.0,,
apache__uima-uimaj_CVE-2022-32287_3.3.0,success,8,3.5.0,,
apache__jspwiki_CVE-2019-10077_2.11.0.M3,success,8,3.5.0,,
apache__jspwiki_CVE-2019-10078_2.11.0.M3,success,8,3.5.0,,
apache__jspwiki_CVE-2019-10076_2.11.0.M3,success,8,3.5.0,,
apache__jspwiki_CVE-2019-10089_2.11.0.M4,success,8,3.5.0,,
DSpace__DSpace_CVE-2022-31192_5.10,success,8,3.5.0,,
jmrozanec__cron-utils_CVE-2021-41269_9.1.5,success,8,3.5.0,,
jstachio__jstachio_CVE-2023-33962_1.0.0,success,17,3.5.0,,
hibernate__hibernate-validator_CVE-2019-10219_6.0.17.Final,success,17,3.5.0,,
spring-projects__spring-framework_CVE-2022-22965_5.2.19.RELEASE,success,8,,,1.0
apache__jspwiki_CVE-2022-46907_2.11.3,success,8,3.5.0,,
xwiki__xwiki-rendering_CVE-2023-32070_14.6,success,17,3.5.0,,
keycloak__keycloak_CVE-2014-3656_1.0.5.Final,success,8,3.5.0,,
xwiki__xwiki-commons_CVE-2023-29201_14.6,success,17,3.5.0,,
xwiki__xwiki-commons_CVE-2023-29528_14.9-rc-1,success,17,3.5.0,,
xwiki__xwiki-commons_CVE-2023-31126_14.10.3,success,17,3.5.0,,
xwiki__xwiki-commons_CVE-2023-36471_14.10.5,success,17,3.5.0,,
asf__commons-text_CVE-2022-42889_1.9,success,8,3.5.0,,
