project_slug,cve_id,github_username,github_repository_name,commit,file,class,class_start,class_end,method,method_start,method_end,signature
shopizer-ecommerce__shopizer_CHANAKYA-IDOR-001_6a4a0a6,CHANAKYA-IDOR-001,shopizer-ecommerce,shopizer,6a4a0a65a3408ee8f62597b51d1b3aac24b77dee,sm-shop/src/main/java/com/salesmanager/shop/store/api/v2/product/ProductVariationApi.java,com.salesmanager.shop.store.api.v2.product.ProductVariationApi,73,284,get,227,234,"public ReadableProductVariation get(@PathVariable Long variationId, MerchantStore merchantStore, Language language)"
shopizer-ecommerce__shopizer_CHANAKYA-IDOR-002_6a4a0a6,CHANAKYA-IDOR-002,shopizer-ecommerce,shopizer,6a4a0a65a3408ee8f62597b51d1b3aac24b77dee,sm-shop/src/main/java/com/salesmanager/shop/store/api/v1/customer/CustomerReviewApi.java,com.salesmanager.shop.store.api.v1.customer.CustomerReviewApi,37,106,getAll,83,86,"public List<ReadableCustomerReview> getAll(@PathVariable final Long id, MerchantStore merchantStore, Language language)"
SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-003_695a6d4,CHANAKYA-IDOR-003,SelimHorri,ecommerce-microservice-backend-app,695a6d49a8fb5559b025e22017df1ec657104309,order-service/src/main/java/com/selimhorri/app/resource/OrderResource.java,com.selimhorri.app.resource.OrderResource,28,86,findById,39,45,"public ResponseEntity<OrderDto> findById(@PathVariable(""orderId"") String orderId)"
SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-004_695a6d4,CHANAKYA-IDOR-004,SelimHorri,ecommerce-microservice-backend-app,695a6d49a8fb5559b025e22017df1ec657104309,order-service/src/main/java/com/selimhorri/app/resource/CartResource.java,com.selimhorri.app.resource.CartResource,28,86,findById,39,45,"public ResponseEntity<CartDto> findById(@PathVariable(""cartId"") String cartId)"
SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-005_695a6d4,CHANAKYA-IDOR-005,SelimHorri,ecommerce-microservice-backend-app,695a6d49a8fb5559b025e22017df1ec657104309,order-service/src/main/java/com/selimhorri/app/resource/CartResource.java,com.selimhorri.app.resource.CartResource,28,86,deleteById,78,82,"public ResponseEntity<Boolean> deleteById(@PathVariable(""cartId"") String cartId)"
SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-006_695a6d4,CHANAKYA-IDOR-006,SelimHorri,ecommerce-microservice-backend-app,695a6d49a8fb5559b025e22017df1ec657104309,payment-service/src/main/java/com/selimhorri/app/resource/PaymentResource.java,com.selimhorri.app.resource.PaymentResource,28,74,findById,39,45,"public ResponseEntity<PaymentDto> findById(@PathVariable(""paymentId"") String paymentId)"
SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-007_695a6d4,CHANAKYA-IDOR-007,SelimHorri,ecommerce-microservice-backend-app,695a6d49a8fb5559b025e22017df1ec657104309,payment-service/src/main/java/com/selimhorri/app/resource/PaymentResource.java,com.selimhorri.app.resource.PaymentResource,28,74,deleteById,66,70,"public ResponseEntity<Boolean> deleteById(@PathVariable(""paymentId"") String paymentId)"
SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-008_695a6d4,CHANAKYA-IDOR-008,SelimHorri,ecommerce-microservice-backend-app,695a6d49a8fb5559b025e22017df1ec657104309,user-service/src/main/java/com/selimhorri/app/resource/AddressResource.java,com.selimhorri.app.resource.AddressResource,28,85,deleteById,77,81,"public ResponseEntity<Boolean> deleteById(@PathVariable(""addressId"") String addressId)"
SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-009_695a6d4,CHANAKYA-IDOR-009,SelimHorri,ecommerce-microservice-backend-app,695a6d49a8fb5559b025e22017df1ec657104309,user-service/src/main/java/com/selimhorri/app/resource/CredentialResource.java,com.selimhorri.app.resource.CredentialResource,28,97,deleteById,77,84,"public ResponseEntity<Boolean> deleteById(@PathVariable(""credentialId"") String credentialId)"
SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-010_695a6d4,CHANAKYA-IDOR-010,SelimHorri,ecommerce-microservice-backend-app,695a6d49a8fb5559b025e22017df1ec657104309,user-service/src/main/java/com/selimhorri/app/resource/UserResource.java,com.selimhorri.app.resource.UserResource,28,93,deleteById,77,81,"public ResponseEntity<Boolean> deleteById(@PathVariable(""userId"") String userId)"
SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-011_695a6d4,CHANAKYA-IDOR-011,SelimHorri,ecommerce-microservice-backend-app,695a6d49a8fb5559b025e22017df1ec657104309,user-service/src/main/java/com/selimhorri/app/resource/VerificationTokenResource.java,com.selimhorri.app.resource.VerificationTokenResource,28,87,deleteById,77,83,"public ResponseEntity<Boolean> deleteById(@PathVariable(""verificationTokenId"") String verificationTokenId)"
SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-012_695a6d4,CHANAKYA-IDOR-012,SelimHorri,ecommerce-microservice-backend-app,695a6d49a8fb5559b025e22017df1ec657104309,product-service/src/main/java/com/selimhorri/app/resource/CategoryResource.java,com.selimhorri.app.resource.CategoryResource,28,86,deleteById,78,82,"public ResponseEntity<Boolean> deleteById(@PathVariable(""categoryId"") String categoryId)"
