id,project_slug,cve_id,cwe_id,cwe_name,github_username,github_repository_name,github_tag,github_url,advisory_id,buggy_commit_id,fix_commit_ids
1,shopizer-ecommerce__shopizer_CHANAKYA-IDOR-001_6a4a0a6,CHANAKYA-IDOR-001,639,Authorization Bypass Through User-Controlled Key,shopizer-ecommerce,shopizer,6a4a0a6,https://github.com/shopizer-ecommerce/shopizer.git,,6a4a0a65a3408ee8f62597b51d1b3aac24b77dee,
2,shopizer-ecommerce__shopizer_CHANAKYA-IDOR-002_6a4a0a6,CHANAKYA-IDOR-002,639,Authorization Bypass Through User-Controlled Key,shopizer-ecommerce,shopizer,6a4a0a6,https://github.com/shopizer-ecommerce/shopizer.git,,6a4a0a65a3408ee8f62597b51d1b3aac24b77dee,
3,SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-003_695a6d4,CHANAKYA-IDOR-003,639,Authorization Bypass Through User-Controlled Key,SelimHorri,ecommerce-microservice-backend-app,695a6d4,https://github.com/SelimHorri/ecommerce-microservice-backend-app.git,,695a6d49a8fb5559b025e22017df1ec657104309,
4,SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-004_695a6d4,CHANAKYA-IDOR-004,639,Authorization Bypass Through User-Controlled Key,SelimHorri,ecommerce-microservice-backend-app,695a6d4,https://github.com/SelimHorri/ecommerce-microservice-backend-app.git,,695a6d49a8fb5559b025e22017df1ec657104309,
5,SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-005_695a6d4,CHANAKYA-IDOR-005,639,Authorization Bypass Through User-Controlled Key,SelimHorri,ecommerce-microservice-backend-app,695a6d4,https://github.com/SelimHorri/ecommerce-microservice-backend-app.git,,695a6d49a8fb5559b025e22017df1ec657104309,
6,SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-006_695a6d4,CHANAKYA-IDOR-006,639,Authorization Bypass Through User-Controlled Key,SelimHorri,ecommerce-microservice-backend-app,695a6d4,https://github.com/SelimHorri/ecommerce-microservice-backend-app.git,,695a6d49a8fb5559b025e22017df1ec657104309,
7,SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-007_695a6d4,CHANAKYA-IDOR-007,639,Authorization Bypass Through User-Controlled Key,SelimHorri,ecommerce-microservice-backend-app,695a6d4,https://github.com/SelimHorri/ecommerce-microservice-backend-app.git,,695a6d49a8fb5559b025e22017df1ec657104309,
8,SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-008_695a6d4,CHANAKYA-IDOR-008,639,Authorization Bypass Through User-Controlled Key,SelimHorri,ecommerce-microservice-backend-app,695a6d4,https://github.com/SelimHorri/ecommerce-microservice-backend-app.git,,695a6d49a8fb5559b025e22017df1ec657104309,
9,SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-009_695a6d4,CHANAKYA-IDOR-009,639,Authorization Bypass Through User-Controlled Key,SelimHorri,ecommerce-microservice-backend-app,695a6d4,https://github.com/SelimHorri/ecommerce-microservice-backend-app.git,,695a6d49a8fb5559b025e22017df1ec657104309,
10,SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-010_695a6d4,CHANAKYA-IDOR-010,639,Authorization Bypass Through User-Controlled Key,SelimHorri,ecommerce-microservice-backend-app,695a6d4,https://github.com/SelimHorri/ecommerce-microservice-backend-app.git,,695a6d49a8fb5559b025e22017df1ec657104309,
11,SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-011_695a6d4,CHANAKYA-IDOR-011,639,Authorization Bypass Through User-Controlled Key,SelimHorri,ecommerce-microservice-backend-app,695a6d4,https://github.com/SelimHorri/ecommerce-microservice-backend-app.git,,695a6d49a8fb5559b025e22017df1ec657104309,
12,SelimHorri__ecommerce-microservice-backend-app_CHANAKYA-IDOR-012_695a6d4,CHANAKYA-IDOR-012,639,Authorization Bypass Through User-Controlled Key,SelimHorri,ecommerce-microservice-backend-app,695a6d4,https://github.com/SelimHorri/ecommerce-microservice-backend-app.git,,695a6d49a8fb5559b025e22017df1ec657104309,
